group,variable,value
Italy,Uruguay,0.175
Italy,Gambia,0.067
Italy,Samoa,0.000
Italy,Belize,0.001
Italy,Turkmenistan,0.000
Italy,Comoros,0.003
Italy,Libya,0.126
Italy,Belarus,0.003
Italy,Maldives,0.000
Australia,Indonesia,9.191
Australia,India,0.982
Australia,Egypt,0.519
Australia,China,1.714
Australia,Iraq,1.819
Australia,Pakistan,0.964
Australia,Philippines,2.949
Australia,Bangladesh,2.160
Australia,Israel,0.000
Australia,Afghanistan,1.259
Australia,Viet Nam,2.253
Australia,Russia,0.000
Australia,Tanzania,0.336
Australia,Thailand,1.163
Australia,Mozambique,0.435
Australia,Turkey,0.021
Australia,Nigeria,0.019
Australia,Kenya,0.247
Australia,Brazil,0.011
Australia,Morocco,0.002
Australia,"Congo, Democratic Republic of",0.065
Australia,Mexico,0.018
Australia,Ethiopia,0.368
Australia,Sri Lanka,0.985
Australia,Sudan,0.311
Australia,Peru,0.010
Australia,Papua New Guinea,25.112
Australia,Zambia,0.118
Australia,Ghana,0.049
Australia,Jordan,0.024
Australia,Colombia,0.011
Australia,Poland,0.000
Australia,Tunisia,0.002
Australia,Cameroon,0.005
Australia,Cote d`Ivoire,0.002
Australia,Uganda,0.119
Australia,Bolivia,0.001
Australia,Malaysia,0.182
Australia,Senegal,0.005
Australia,Palestinian Adm. Areas,0.332
Australia,Nicaragua,0.010
Australia,South Africa,0.241
Australia,Algeria,0.001
Australia,Myanmar,0.803
Australia,Mali,0.018
Australia,Serbia,0.132
Australia,Argentina,0.004
Australia,Haiti,0.022
Australia,Zimbabwe,0.459
Australia,Nepal,0.425
Australia,Burkina Faso,0.004
Australia,Honduras,0.004
Australia,El Salvador,0.002
Australia,Malawi,0.115
Australia,Madagascar,0.010
Australia,Yemen,0.014
Australia,Cambodia,1.225
Australia,Somalia,0.151
Australia,Venezuela,0.001
Australia,Guatemala,0.002
Australia,Angola,0.025
Australia,Rwanda,0.029
Australia,Syria,0.084
Australia,Niger,0.025
Australia,Bosnia-Herzegovina,0.000
Australia,Lebanon,0.060
Australia,"Congo, Republic of",0.001
Australia,Ukraine,0.002
Australia,Ecuador,0.004
Australia,Jamaica,0.002
Australia,Benin,0.001
Australia,Dominican Republic,0.001
Australia,Liberia,0.012
Australia,Guinea,0.001
Australia,Chile,0.012
Australia,Laos,0.827
Australia,Costa Rica,0.003
Australia,Uzbekistan,0.000
Australia,Iran,0.011
Australia,Georgia,0.000
Australia,Sierra Leone,0.013
Australia,Chad,0.016
Australia,Burundi,0.004
Australia,Mauritania,0.001
Australia,Albania,0.000
Australia,Botswana,0.041
Australia,Togo,0.003
Australia,Mongolia,0.109
Australia,Namibia,0.032
Australia,Gabon,0.000
Australia,Cape Verde,0.001
Australia,Timor-Leste,1.836
Australia,South Sudan,0.051
Australia,Solomon Islands,3.250
Australia,Kazakhstan,0.001
Australia,Armenia,0.000
Australia,Paraguay,0.003
Australia,Panama,0.000
Australia,Azerbaijan,0.001
Australia,Kosovo,0.126
Australia,Kyrgyz Republic,0.001
Australia,Lesotho,0.057
Australia,Mauritius,0.137
Australia,Cuba,0.001
Australia,Central African Republic,0.002
Australia,"Macedonia, FYR",0.000
Australia,Guinea-Bissau,0.001
Australia,Guyana,0.002
Australia,Tajikistan,0.002
Australia,Eritrea,0.035
Australia,Croatia,0.001
Australia,Moldova,0.001
Australia,Djibouti,0.001
Australia,Bhutan,0.095
Australia,Swaziland,0.015
Australia,Uruguay,0.000
Australia,Gambia,0.005
Australia,Samoa,0.781
Australia,Belize,0.002
Australia,Turkmenistan,0.000
Australia,Comoros,0.007
Australia,Libya,0.042
Australia,Maldives,0.131
Sweden,Indonesia,0.165
Sweden,India,3.828
Sweden,Egypt,0.075
Sweden,China,0.529
Sweden,Iraq,0.686
Sweden,Pakistan,0.400
Sweden,Philippines,0.191
Sweden,Bangladesh,2.147
Sweden,Israel,0.003
Sweden,Afghanistan,1.179
Sweden,Viet Nam,4.463
Sweden,Russia,0.380
Sweden,Tanzania,7.157
Sweden,Thailand,0.184
Sweden,Mozambique,4.562
Sweden,Turkey,0.145
Sweden,Nigeria,0.015
Sweden,Kenya,2.269
Sweden,Brazil,0.027
Sweden,Morocco,0.040
Sweden,"Congo, Democratic Republic of",1.031
Sweden,Mexico,0.015
Sweden,Ethiopia,2.343
Sweden,Sri Lanka,1.408
Sweden,Sudan,0.731
Sweden,Peru,0.070
Sweden,Papua New Guinea,0.000
Sweden,Zambia,2.976
Sweden,Ghana,0.081
Sweden,Jordan,0.062
Sweden,Colombia,0.310
Sweden,Poland,0.094
Sweden,Tunisia,0.344
Sweden,Cameroon,0.143
Sweden,Cote d`Ivoire,0.050
Sweden,Uganda,1.119
Sweden,Bolivia,0.681
Sweden,Malaysia,0.034
Sweden,Senegal,0.034
Sweden,Palestinian Adm. Areas,1.075
Sweden,Nicaragua,1.710
Sweden,South Africa,1.417
Sweden,Algeria,0.163
Sweden,Myanmar,0.176
Sweden,Mali,0.347
Sweden,Serbia,0.588
Sweden,Argentina,0.018
Sweden,Haiti,0.100
Sweden,Zimbabwe,2.035
Sweden,Nepal,0.045
Sweden,Burkina Faso,0.366
Sweden,Honduras,0.384
Sweden,El Salvador,0.186
Sweden,Malawi,0.127
Sweden,Madagascar,0.026
Sweden,Yemen,0.091
Sweden,Cambodia,0.610
Sweden,Somalia,0.550
Sweden,Venezuela,0.003
Sweden,Guatemala,0.492
Sweden,Angola,1.476
Sweden,Rwanda,0.387
Sweden,Syria,0.079
Sweden,Niger,0.032
Sweden,Bosnia-Herzegovina,0.716
Sweden,Lebanon,0.096
Sweden,"Congo, Republic of",0.033
Sweden,Ukraine,0.297
Sweden,Ecuador,0.045
Sweden,Jamaica,0.022
Sweden,Benin,0.006
Sweden,Dominican Republic,0.022
Sweden,Liberia,0.369
Sweden,Guinea,0.037
Sweden,Chile,0.177
Sweden,Laos,1.114
Sweden,Costa Rica,0.104
Sweden,Uzbekistan,0.007
Sweden,Iran,0.020
Sweden,Georgia,0.190
Sweden,Sierra Leone,0.054
Sweden,Chad,0.079
Sweden,Burundi,0.107
Sweden,Mauritania,0.011
Sweden,Albania,0.152
Sweden,Botswana,0.879
Sweden,Togo,0.018
Sweden,Mongolia,0.058
Sweden,Namibia,0.678
Sweden,Gabon,0.027
Sweden,Cape Verde,0.367
Sweden,Timor-Leste,0.064
Sweden,South Sudan,0.121
Sweden,Solomon Islands,0.000
Sweden,Kazakhstan,0.011
Sweden,Armenia,0.033
Sweden,Paraguay,0.034
Sweden,Panama,0.000
Sweden,Azerbaijan,0.016
Sweden,Kosovo,0.144
Sweden,Kyrgyz Republic,0.061
Sweden,Lesotho,0.282
Sweden,Mauritius,0.012
Sweden,Cuba,0.254
Sweden,Central African Republic,0.063
Sweden,"Macedonia, FYR",0.103
Sweden,Guinea-Bissau,0.649
Sweden,Guyana,0.000
Sweden,Tajikistan,0.087
Sweden,Eritrea,0.090
Sweden,Croatia,0.078
Sweden,Moldova,0.194
Sweden,Djibouti,0.001
Sweden,Bhutan,0.008
Sweden,Swaziland,0.036
Sweden,Uruguay,0.027
Sweden,Gambia,0.010
Sweden,Samoa,0.001
Sweden,Belize,0.000
Sweden,Turkmenistan,0.002
Sweden,Comoros,0.000
Sweden,Libya,0.039
Sweden,Belarus,0.139
Sweden,Maldives,0.000
Norway,Indonesia,0.604
Norway,India,2.148
Norway,Egypt,0.035
Norway,China,0.825
Norway,Iraq,0.483
Norway,Pakistan,1.477
Norway,Philippines,0.284
Norway,Bangladesh,2.137
Norway,Israel,0.000
Norway,Afghanistan,1.985
Norway,Viet Nam,0.807
Norway,Russia,0.078
Norway,Tanzania,5.451
Norway,Thailand,0.136
Norway,Mozambique,2.798
Norway,Turkey,0.049
Norway,Nigeria,0.172
Norway,Kenya,1.298
Norway,Brazil,1.071
Norway,Morocco,0.004
Norway,"Congo, Democratic Republic of",0.491
Norway,Mexico,0.031
Norway,Ethiopia,1.194
Norway,Sri Lanka,1.208
Norway,Sudan,1.808
Norway,Peru,0.086
Norway,Papua New Guinea,0.011
Norway,Zambia,2.574
Norway,Ghana,0.145
Norway,Jordan,0.091
Norway,Colombia,0.300
Norway,Poland,0.003
Norway,Tunisia,0.028
Norway,Cameroon,0.059
Norway,Cote d`Ivoire,0.115
Norway,Uganda,1.520
Norway,Bolivia,0.153
Norway,Malaysia,0.036
Norway,Senegal,0.119
Norway,Palestinian Adm. Areas,1.990
Norway,Nicaragua,0.928
Norway,South Africa,0.690
Norway,Algeria,0.035
Norway,Myanmar,0.317
Norway,Mali,0.348
Norway,Serbia,0.946
Norway,Argentina,0.002
Norway,Haiti,0.232
Norway,Zimbabwe,1.088
Norway,Nepal,0.957
Norway,Burkina Faso,0.089
Norway,Honduras,0.117
Norway,El Salvador,0.052
Norway,Malawi,1.269
Norway,Madagascar,0.471
Norway,Yemen,0.033
Norway,Cambodia,0.214
Norway,Somalia,0.842
Norway,Venezuela,0.004
Norway,Guatemala,0.470
Norway,Angola,0.786
Norway,Rwanda,0.245
Norway,Syria,0.128
Norway,Niger,0.141
Norway,Bosnia-Herzegovina,0.641
Norway,Lebanon,0.263
Norway,"Congo, Republic of",0.027
Norway,Ukraine,0.049
Norway,Ecuador,0.057
Norway,Jamaica,0.115
Norway,Benin,0.151
Norway,Dominican Republic,0.017
Norway,Liberia,0.409
Norway,Guinea,0.046
Norway,Chile,0.057
Norway,Laos,0.208
Norway,Costa Rica,0.059
Norway,Uzbekistan,0.010
Norway,Iran,0.088
Norway,Georgia,0.161
Norway,Sierra Leone,0.184
Norway,Chad,0.038
Norway,Burundi,0.349
Norway,Mauritania,0.028
Norway,Albania,0.155
Norway,Botswana,0.703
Norway,Togo,0.011
Norway,Mongolia,0.055
Norway,Namibia,0.289
Norway,Gabon,0.001
Norway,Cape Verde,0.023
Norway,Timor-Leste,0.185
Norway,South Sudan,0.249
Norway,Solomon Islands,0.000
Norway,Kazakhstan,0.046
Norway,Armenia,0.092
Norway,Paraguay,0.030
Norway,Panama,0.021
Norway,Azerbaijan,0.113
Norway,Kosovo,0.227
Norway,Kyrgyz Republic,0.065
Norway,Lesotho,0.105
Norway,Mauritius,0.003
Norway,Cuba,0.101
Norway,Central African Republic,0.024
Norway,"Macedonia, FYR",0.194
Norway,Guinea-Bissau,0.058
Norway,Guyana,0.292
Norway,Tajikistan,0.062
Norway,Eritrea,0.366
Norway,Croatia,0.248
Norway,Moldova,0.063
Norway,Djibouti,0.003
Norway,Bhutan,0.140
Norway,Swaziland,0.032
Norway,Uruguay,0.006
Norway,Gambia,0.061
Norway,Belize,0.001
Norway,Turkmenistan,0.004
Norway,Comoros,0.001
Norway,Libya,0.018
Norway,Belarus,0.028
Norway,Maldives,0.029
Spain,Indonesia,0.975
Spain,India,0.272
Spain,Egypt,0.354
Spain,China,2.687
Spain,Iraq,0.792
Spain,Pakistan,0.118
Spain,Philippines,0.611
Spain,Bangladesh,0.070
Spain,Israel,0.010
Spain,Afghanistan,0.406
Spain,Viet Nam,0.280
Spain,Russia,0.030
Spain,Tanzania,0.130
Spain,Thailand,0.007
Spain,Mozambique,0.763
Spain,Turkey,0.837
Spain,Nigeria,0.197
Spain,Kenya,0.205
Spain,Brazil,0.312
Spain,Morocco,2.197
Spain,"Congo, Democratic Republic of",0.547
Spain,Mexico,1.478
Spain,Ethiopia,0.355
Spain,Sri Lanka,0.072
Spain,Sudan,0.185
Spain,Peru,1.274
Spain,Papua New Guinea,0.000
Spain,Zambia,0.008
Spain,Ghana,0.323
Spain,Jordan,0.195
Spain,Colombia,1.067
Spain,Poland,0.088
Spain,Tunisia,0.920
Spain,Cameroon,0.241
Spain,Cote d`Ivoire,0.622
Spain,Uganda,0.185
Spain,Bolivia,1.237
Spain,Malaysia,0.019
Spain,Senegal,0.623
Spain,Palestinian Adm. Areas,0.835
Spain,Nicaragua,2.327
Spain,South Africa,0.019
Spain,Algeria,1.268
Spain,Myanmar,0.007
Spain,Mali,0.188
Spain,Serbia,0.336
Spain,Argentina,1.073
Spain,Haiti,0.602
Spain,Zimbabwe,0.063
Spain,Nepal,0.052
Spain,Burkina Faso,0.088
Spain,Honduras,1.393
Spain,El Salvador,0.974
Spain,Malawi,0.031
Spain,Madagascar,0.370
Spain,Yemen,0.043
Spain,Cambodia,0.120
Spain,Somalia,0.111
Spain,Venezuela,0.493
Spain,Guatemala,1.383
Spain,Angola,0.931
Spain,Rwanda,0.043
Spain,Syria,0.072
Spain,Niger,0.165
Spain,Bosnia-Herzegovina,0.622
Spain,Lebanon,0.182
Spain,"Congo, Republic of",0.238
Spain,Ukraine,0.011
Spain,Ecuador,1.189
Spain,Jamaica,0.004
Spain,Benin,0.022
Spain,Dominican Republic,0.717
Spain,Liberia,0.040
Spain,Guinea,0.037
Spain,Chile,0.212
Spain,Costa Rica,0.225
Spain,Uzbekistan,0.026
Spain,Iran,0.059
Spain,Georgia,0.006
Spain,Sierra Leone,0.022
Spain,Chad,0.082
Spain,Burundi,0.016
Spain,Mauritania,0.438
Spain,Albania,0.089
Spain,Botswana,0.000
Spain,Togo,0.106
Spain,Mongolia,0.029
Spain,Namibia,0.133
Spain,Gabon,0.006
Spain,Cape Verde,0.182
Spain,Timor-Leste,0.063
Spain,South Sudan,0.002
Spain,Solomon Islands,0.000
Spain,Kazakhstan,0.101
Spain,Armenia,0.006
Spain,Paraguay,0.286
Spain,Panama,0.243
Spain,Azerbaijan,0.001
Spain,Kosovo,0.127
Spain,Kyrgyz Republic,0.002
Spain,Lesotho,0.009
Spain,Mauritius,0.000
Spain,Cuba,0.542
Spain,Central African Republic,0.014
Spain,"Macedonia, FYR",0.032
Spain,Guinea-Bissau,0.090
Spain,Guyana,0.002
Spain,Tajikistan,0.009
Spain,Eritrea,0.009
Spain,Croatia,0.012
Spain,Moldova,0.002
Spain,Djibouti,0.009
Spain,Bhutan,0.000
Spain,Swaziland,0.000
Spain,Uruguay,0.278
Spain,Gambia,0.029
Spain,Samoa,0.000
Spain,Belize,0.007
Spain,Turkmenistan,0.000
Spain,Comoros,0.000
Spain,Libya,0.011
Spain,Belarus,0.002
Spain,Maldives,0.000
Denmark,Indonesia,0.435
Denmark,India,2.004
Denmark,Egypt,1.221
Denmark,China,0.717
Denmark,Iraq,0.269
Denmark,Pakistan,0.247
Denmark,Philippines,0.277
Denmark,Bangladesh,2.876
Denmark,Israel,0.001
Denmark,Afghanistan,0.817
Denmark,Viet Nam,1.548
Denmark,Tanzania,4.710
Denmark,Thailand,0.489
Denmark,Mozambique,2.268
Denmark,Turkey,0.010
Denmark,Nigeria,0.354
Denmark,Kenya,1.893
Denmark,Brazil,0.003
Denmark,Morocco,0.127
Denmark,"Congo, Democratic Republic of",0.038
Denmark,Mexico,0.010
Denmark,Ethiopia,0.195
Denmark,Sri Lanka,0.392
Denmark,Sudan,0.567
Denmark,Peru,0.060
Denmark,Papua New Guinea,0.000
Denmark,Zambia,1.020
Denmark,Ghana,1.521
Denmark,Jordan,0.094
Denmark,Colombia,0.003
Denmark,Tunisia,0.011
Denmark,Cameroon,0.284
Denmark,Cote d`Ivoire,0.018
Denmark,Uganda,1.783
Denmark,Bolivia,0.746
Denmark,Malaysia,0.154
Denmark,Senegal,0.213
Denmark,Palestinian Adm. Areas,0.256
Denmark,Nicaragua,0.810
Denmark,South Africa,0.412
Denmark,Algeria,0.019
Denmark,Myanmar,0.279
Denmark,Mali,0.404
Denmark,Serbia,0.107
Denmark,Argentina,0.002
Denmark,Haiti,0.027
Denmark,Zimbabwe,0.816
Denmark,Nepal,0.948
Denmark,Burkina Faso,1.196
Denmark,Honduras,0.042
Denmark,El Salvador,0.017
Denmark,Malawi,0.532
Denmark,Madagascar,0.031
Denmark,Yemen,0.234
Denmark,Cambodia,0.203
Denmark,Somalia,0.379
Denmark,Guatemala,0.041
Denmark,Angola,0.146
Denmark,Rwanda,0.040
Denmark,Syria,0.079
Denmark,Niger,0.312
Denmark,Bosnia-Herzegovina,0.011
Denmark,Lebanon,0.025
Denmark,"Congo, Republic of",0.018
Denmark,Ukraine,0.063
Denmark,Ecuador,0.024
Denmark,Benin,0.897
Denmark,Dominican Republic,0.008
Denmark,Liberia,0.122
Denmark,Guinea,0.100
Denmark,Chile,0.033
Denmark,Laos,0.030
Denmark,Costa Rica,0.039
Denmark,Uzbekistan,0.000
Denmark,Iran,0.003
Denmark,Georgia,0.028
Denmark,Sierra Leone,0.084
Denmark,Chad,0.009
Denmark,Burundi,0.029
Denmark,Mauritania,0.068
Denmark,Albania,0.057
Denmark,Botswana,0.139
Denmark,Togo,0.093
Denmark,Mongolia,0.075
Denmark,Namibia,0.097
Denmark,Cape Verde,0.022
Denmark,Timor-Leste,0.002
Denmark,South Sudan,0.128
Denmark,Solomon Islands,0.001
Denmark,Kazakhstan,0.002
Denmark,Armenia,0.034
Denmark,Paraguay,0.000
Denmark,Panama,0.004
Denmark,Azerbaijan,0.000
Denmark,Kosovo,0.048
Denmark,Kyrgyz Republic,0.014
Denmark,Lesotho,0.090
Denmark,Cuba,0.000
Denmark,Central African Republic,0.034
Denmark,"Macedonia, FYR",0.007
Denmark,Guinea-Bissau,0.037
Denmark,Guyana,0.011
Denmark,Tajikistan,0.006
Denmark,Eritrea,0.134
Denmark,Croatia,0.000
Denmark,Moldova,0.022
Denmark,Djibouti,0.000
Denmark,Bhutan,0.385
Denmark,Swaziland,0.089
Denmark,Gambia,0.077
Denmark,Belize,0.001
Denmark,Turkmenistan,0.000
Denmark,Libya,0.011
Denmark,Belarus,0.012
Denmark,Maldives,0.084
Switzerland,Indonesia,0.919
Switzerland,India,1.839
Switzerland,Egypt,0.543
Switzerland,China,0.439
Switzerland,Iraq,0.458
Switzerland,Pakistan,0.936
Switzerland,Philippines,0.162
Switzerland,Bangladesh,1.033
Switzerland,Israel,0.037
Switzerland,Afghanistan,0.418
Switzerland,Viet Nam,0.558
Switzerland,Russia,0.156
Switzerland,Tanzania,1.189
Switzerland,Thailand,0.143
Switzerland,Mozambique,1.150
Switzerland,Turkey,0.221
Switzerland,Nigeria,0.165
Switzerland,Kenya,0.355
Switzerland,Brazil,0.095
Switzerland,Morocco,0.093
Switzerland,"Congo, Democratic Republic of",0.244
Switzerland,Mexico,0.009
Switzerland,Ethiopia,0.199
Switzerland,Sri Lanka,0.289
Switzerland,Sudan,0.301
Switzerland,Peru,0.744
Switzerland,Papua New Guinea,0.001
Switzerland,Zambia,0.068
Switzerland,Ghana,0.253
Switzerland,Jordan,0.145
Switzerland,Colombia,0.292
Switzerland,Poland,0.003
Switzerland,Tunisia,0.161
Switzerland,Cameroon,0.313
Switzerland,Cote d`Ivoire,0.563
Switzerland,Uganda,0.094
Switzerland,Bolivia,0.863
Switzerland,Malaysia,0.006
Switzerland,Senegal,0.303
Switzerland,Palestinian Adm. Areas,0.420
Switzerland,Nicaragua,0.541
Switzerland,South Africa,0.273
Switzerland,Algeria,0.055
Switzerland,Myanmar,0.159
Switzerland,Mali,0.729
Switzerland,Serbia,1.017
Switzerland,Argentina,0.006
Switzerland,Haiti,0.260
Switzerland,Zimbabwe,0.281
Switzerland,Nepal,1.296
Switzerland,Burkina Faso,0.782
Switzerland,Honduras,0.382
Switzerland,El Salvador,0.066
Switzerland,Malawi,0.022
Switzerland,Madagascar,0.714
Switzerland,Yemen,0.109
Switzerland,Cambodia,0.125
Switzerland,Somalia,0.140
Switzerland,Venezuela,0.013
Switzerland,Guatemala,0.079
Switzerland,Angola,0.138
Switzerland,Rwanda,0.755
Switzerland,Syria,0.064
Switzerland,Niger,0.522
Switzerland,Bosnia-Herzegovina,0.627
Switzerland,Lebanon,0.127
Switzerland,"Congo, Republic of",0.044
Switzerland,Ukraine,0.219
Switzerland,Ecuador,0.318
Switzerland,Jamaica,0.001
Switzerland,Benin,0.509
Switzerland,Dominican Republic,0.010
Switzerland,Liberia,0.113
Switzerland,Guinea,0.064
Switzerland,Chile,0.088
Switzerland,Laos,0.260
Switzerland,Costa Rica,0.041
Switzerland,Uzbekistan,0.095
Switzerland,Iran,0.036
Switzerland,Georgia,0.167
Switzerland,Sierra Leone,0.087
Switzerland,Chad,0.509
Switzerland,Burundi,0.259
Switzerland,Mauritania,0.038
Switzerland,Albania,0.298
Switzerland,Botswana,0.001
Switzerland,Togo,0.284
Switzerland,Mongolia,0.183
Switzerland,Namibia,0.006
Switzerland,Gabon,0.000
Switzerland,Cape Verde,0.120
Switzerland,Timor-Leste,0.003
Switzerland,South Sudan,0.044
Switzerland,Kazakhstan,0.003
Switzerland,Armenia,0.060
Switzerland,Paraguay,0.046
Switzerland,Panama,0.002
Switzerland,Azerbaijan,0.103
Switzerland,Kosovo,0.503
Switzerland,Kyrgyz Republic,0.344
Switzerland,Lesotho,0.075
Switzerland,Mauritius,0.002
Switzerland,Cuba,0.117
Switzerland,Central African Republic,0.055
Switzerland,"Macedonia, FYR",0.216
Switzerland,Guinea-Bissau,0.092
Switzerland,Guyana,0.000
Switzerland,Tajikistan,0.341
Switzerland,Eritrea,0.054
Switzerland,Croatia,0.028
Switzerland,Moldova,0.121
Switzerland,Djibouti,0.006
Switzerland,Bhutan,0.226
Switzerland,Swaziland,0.002
Switzerland,Uruguay,0.002
Switzerland,Gambia,0.021
Switzerland,Samoa,0.000
Switzerland,Belize,0.001
Switzerland,Turkmenistan,0.004
Switzerland,Comoros,0.003
Switzerland,Libya,0.014
Switzerland,Belarus,0.034
Switzerland,Maldives,0.001
Belgium,Indonesia,0.759
Belgium,India,0.561
Belgium,Egypt,0.232
Belgium,China,0.361
Belgium,Iraq,0.973
Belgium,Pakistan,0.227
Belgium,Philippines,0.564
Belgium,Bangladesh,0.216
Belgium,Israel,0.004
Belgium,Afghanistan,0.163
Belgium,Viet Nam,0.615
Belgium,Russia,0.147
Belgium,Tanzania,0.808
Belgium,Thailand,0.053
Belgium,Mozambique,0.355
Belgium,Turkey,0.332
Belgium,Nigeria,0.787
Belgium,Kenya,0.375
Belgium,Brazil,0.213
Belgium,Morocco,0.499
Belgium,"Congo, Democratic Republic of",5.549
Belgium,Mexico,0.117
Belgium,Ethiopia,0.247
Belgium,Sri Lanka,0.038
Belgium,Sudan,0.191
Belgium,Peru,0.899
Belgium,Papua New Guinea,0.013
Belgium,Zambia,0.136
Belgium,Ghana,0.184
Belgium,Jordan,0.027
Belgium,Colombia,0.103
Belgium,Poland,0.800
Belgium,Tunisia,0.247
Belgium,Cameroon,1.036
Belgium,Cote d`Ivoire,0.920
Belgium,Uganda,0.304
Belgium,Bolivia,0.986
Belgium,Malaysia,0.002
Belgium,Senegal,0.486
Belgium,Palestinian Adm. Areas,0.426
Belgium,Nicaragua,0.114
Belgium,South Africa,0.340
Belgium,Algeria,0.587
Belgium,Myanmar,0.007
Belgium,Mali,0.329
Belgium,Serbia,0.172
Belgium,Argentina,0.062
Belgium,Haiti,0.126
Belgium,Zimbabwe,0.106
Belgium,Nepal,0.050
Belgium,Burkina Faso,0.319
Belgium,Honduras,0.053
Belgium,El Salvador,0.047
Belgium,Malawi,0.083
Belgium,Madagascar,0.170
Belgium,Yemen,0.003
Belgium,Cambodia,0.188
Belgium,Somalia,0.030
Belgium,Venezuela,0.011
Belgium,Guatemala,0.098
Belgium,Angola,0.127
Belgium,Rwanda,0.951
Belgium,Syria,0.028
Belgium,Niger,0.443
Belgium,Bosnia-Herzegovina,0.053
Belgium,Lebanon,0.061
Belgium,"Congo, Republic of",0.295
Belgium,Ukraine,0.007
Belgium,Ecuador,0.376
Belgium,Jamaica,0.075
Belgium,Benin,0.378
Belgium,Dominican Republic,0.017
Belgium,Liberia,0.105
Belgium,Guinea,0.078
Belgium,Chile,0.060
Belgium,Laos,0.087
Belgium,Costa Rica,0.021
Belgium,Uzbekistan,0.013
Belgium,Iran,0.006
Belgium,Georgia,0.013
Belgium,Sierra Leone,0.119
Belgium,Chad,0.054
Belgium,Burundi,0.862
Belgium,Mauritania,0.033
Belgium,Albania,0.011
Belgium,Botswana,0.030
Belgium,Togo,0.412
Belgium,Mongolia,0.020
Belgium,Namibia,0.028
Belgium,Gabon,0.269
Belgium,Cape Verde,0.026
Belgium,Timor-Leste,0.036
Belgium,South Sudan,0.014
Belgium,Kazakhstan,0.010
Belgium,Armenia,0.006
Belgium,Paraguay,0.003
Belgium,Panama,0.014
Belgium,Azerbaijan,0.004
Belgium,Kosovo,0.013
Belgium,Kyrgyz Republic,0.004
Belgium,Lesotho,0.001
Belgium,Mauritius,0.025
Belgium,Cuba,0.116
Belgium,Central African Republic,0.027
Belgium,"Macedonia, FYR",0.007
Belgium,Guinea-Bissau,0.045
Belgium,Guyana,0.001
Belgium,Tajikistan,0.001
Belgium,Eritrea,0.049
Belgium,Croatia,0.018
Belgium,Moldova,0.001
Belgium,Djibouti,0.002
Belgium,Bhutan,0.000
Belgium,Swaziland,0.003
Belgium,Uruguay,0.017
Belgium,Gambia,0.008
Belgium,Samoa,0.000
Belgium,Belize,0.000
Belgium,Turkmenistan,0.000
Belgium,Comoros,0.009
Belgium,Libya,0.005
Belgium,Belarus,0.001
Belgium,Maldives,0.009
Korea,Indonesia,1.997
Korea,India,0.839
Korea,Egypt,0.074
Korea,China,4.069
Korea,Iraq,0.273
Korea,Pakistan,0.243
Korea,Philippines,1.142
Korea,Bangladesh,0.676
Korea,Afghanistan,0.345
Korea,Viet Nam,3.849
Korea,Tanzania,0.445
Korea,Thailand,0.106
Korea,Mozambique,0.358
Korea,Turkey,0.208
Korea,Nigeria,0.101
Korea,Kenya,0.043
Korea,Brazil,0.204
Korea,Morocco,0.038
Korea,"Congo, Democratic Republic of",0.128
Korea,Mexico,0.727
Korea,Ethiopia,0.292
Korea,Sri Lanka,0.458
Korea,Sudan,0.019
Korea,Peru,0.268
Korea,Papua New Guinea,0.009
Korea,Zambia,0.048
Korea,Ghana,0.175
Korea,Jordan,0.356
Korea,Colombia,0.086
Korea,Tunisia,0.033
Korea,Cameroon,0.123
Korea,Cote d`Ivoire,0.012
Korea,Uganda,0.065
Korea,Bolivia,0.176
Korea,Malaysia,0.034
Korea,Senegal,0.116
Korea,Palestinian Adm. Areas,0.046
Korea,Nicaragua,0.131
Korea,South Africa,0.020
Korea,Algeria,0.027
Korea,Myanmar,0.236
Korea,Mali,0.104
Korea,Serbia,0.004
Korea,Argentina,0.020
Korea,Haiti,0.017
Korea,Zimbabwe,0.016
Korea,Nepal,0.128
Korea,Burkina Faso,0.003
Korea,Honduras,0.095
Korea,El Salvador,0.032
Korea,Malawi,0.006
Korea,Madagascar,1.093
Korea,Yemen,0.481
Korea,Cambodia,0.577
Korea,Somalia,0.002
Korea,Venezuela,0.001
Korea,Guatemala,0.060
Korea,Angola,0.195
Korea,Rwanda,0.108
Korea,Syria,0.008
Korea,Niger,0.003
Korea,Bosnia-Herzegovina,0.087
Korea,Lebanon,0.020
Korea,"Congo, Republic of",0.002
Korea,Ukraine,0.011
Korea,Ecuador,0.156
Korea,Jamaica,0.006
Korea,Benin,0.003
Korea,Dominican Republic,0.099
Korea,Liberia,0.012
Korea,Guinea,0.004
Korea,Chile,0.044
Korea,Laos,0.248
Korea,Costa Rica,0.005
Korea,Uzbekistan,0.541
Korea,Iran,0.002
Korea,Georgia,0.001
Korea,Sierra Leone,0.056
Korea,Chad,0.001
Korea,Burundi,0.001
Korea,Mauritania,0.000
Korea,Albania,0.000
Korea,Botswana,0.000
Korea,Togo,0.001
Korea,Mongolia,0.306
Korea,Namibia,0.000
Korea,Gabon,0.002
Korea,Cape Verde,0.000
Korea,Timor-Leste,0.035
Korea,South Sudan,0.088
Korea,Solomon Islands,0.004
Korea,Kazakhstan,0.062
Korea,Armenia,0.004
Korea,Paraguay,0.071
Korea,Panama,0.007
Korea,Azerbaijan,0.191
Korea,Kyrgyz Republic,0.008
