group,variable,donated,received,value
Afghanistan,1964,,25.4310,-25.4310
Afghanistan,1969,,34.9170,-34.9170
Afghanistan,1970,,71.0171,-71.0171
Afghanistan,1971,,32.5079,-32.5079
Afghanistan,1972,,1.7002,-1.7002
Afghanistan,1973,,268.6615,-268.6615
Afghanistan,1974,,174.5909,-174.5909
Afghanistan,1975,,122.6721,-122.6721
Afghanistan,1976,,362.8981,-362.8981
Afghanistan,1977,,385.1916,-385.1916
Afghanistan,1978,,303.9471,-303.9471
Afghanistan,1979,,280.0581,-280.0581
Afghanistan,1980,,1.8934,-1.8934
Afghanistan,1981,,0.9095,-0.9095
Afghanistan,1982,,0.7325,-0.7325
Afghanistan,1983,,4.0922,-4.0922
Afghanistan,1984,,3.4021,-3.4021
Afghanistan,1985,,13.0043,-13.0043
Afghanistan,1986,,43.0285,-43.0285
Afghanistan,1987,,64.3841,-64.3841
Afghanistan,1988,,108.7647,-108.7647
Afghanistan,1989,,143.5867,-143.5867
Afghanistan,1990,,138.1567,-138.1567
Afghanistan,1991,,114.2123,-114.2123
Afghanistan,1992,,125.2160,-125.2160
Afghanistan,1993,,91.9684,-91.9684
Afghanistan,1994,,68.7551,-68.7551
Afghanistan,1995,,130.2722,-130.2722
Afghanistan,1996,,138.9595,-138.9595
Afghanistan,1997,,223.6546,-223.6546
Afghanistan,1998,,195.0750,-195.0750
Afghanistan,1999,,216.5315,-216.5315
Afghanistan,2000,,236.8397,-236.8397
Afghanistan,2001,,868.5859,-868.5859
Afghanistan,2002,,4839.9453,-4839.9453
Afghanistan,2003,,3486.7325,-3486.7325
Afghanistan,2004,,3767.5969,-3767.5969
Afghanistan,2005,,4394.5724,-4394.5724
Afghanistan,2006,,4257.9326,-4257.9326
Afghanistan,2007,,5111.9345,-5111.9345
Afghanistan,2008,,6708.4204,-6708.4204
Afghanistan,2009,,6679.7741,-6679.7741
Afghanistan,2010,,8300.5954,-8300.5954
Afghanistan,2011,,6606.9141,-6606.9141
Afghanistan,2012,,6453.9374,-6453.9374
Afghanistan,2013,,6654.7159,-6654.7159
Afghanistan,9999,,10.2885,-10.2885
Argentina,1961,,387.9171,-387.9171
Argentina,1962,,730.1345,-730.1345
Argentina,1967,,109.1591,-109.1591
Argentina,1968,,935.4767,-935.4767
Argentina,1969,,574.7380,-574.7380
Argentina,1970,,507.3575,-507.3575
Argentina,1971,,1369.7785,-1369.7785
Argentina,1972,,887.7954,-887.7954
Argentina,1973,,97.0110,-97.0110
Argentina,1974,,395.7879,-395.7879
Argentina,1975,,825.6983,-825.6983
Argentina,1976,,1234.2621,-1234.2621
Argentina,1977,,1822.1490,-1822.1490
Argentina,1978,,1382.9365,-1382.9365
Argentina,1979,,1644.0588,-1644.0588
Argentina,1980,,1676.7693,-1676.7693
Argentina,1981,,2173.4256,-2173.4256
Argentina,1982,,2221.8682,-2221.8682
Argentina,1983,,499.9582,-499.9582
Argentina,1984,,4390.2051,-4390.2051
Argentina,1985,,1134.6517,-1134.6517
Argentina,1986,,2669.1380,-2669.1380
Argentina,1987,,3732.4421,-3732.4421
Argentina,1988,,4313.3120,-4313.3120
Argentina,1989,,1879.4549,-1879.4549
Argentina,1990,,1064.1906,-1064.1906
Argentina,1991,,4077.1725,-4077.1725
Argentina,1992,,7670.7442,-7670.7442
Argentina,1993,,5447.7857,-5447.7857
Argentina,1994,,4268.4516,-4268.4516
Argentina,1995,,8360.7883,-8360.7883
Argentina,1996,,7799.6522,-7799.6522
Argentina,1997,,4742.8232,-4742.8232
Argentina,1998,,15935.1671,-15935.1671
Argentina,1999,,4162.1390,-4162.1390
Argentina,2000,,4260.3437,-4260.3437
Argentina,2001,,52056.1271,-52056.1271
Argentina,2002,,495.8638,-495.8638
Argentina,2003,,27038.7912,-27038.7912
Argentina,2004,,2301.0406,-2301.0406
Argentina,2005,,2315.5828,-2315.5828
Argentina,2006,,4142.9984,-4142.9984
Argentina,2007,,4500.4911,-4500.4911
Argentina,2008,,2800.1410,-2800.1410
Argentina,2009,,3788.6575,-3788.6575
Argentina,2010,,4816.0971,-4816.0971
Argentina,2011,,2368.0388,-2368.0388
Argentina,2012,,190.8140,-190.8140
Argentina,2013,,1323.1317,-1323.1317
Argentina,9999,,2.9090,-2.9090
Australia,1950,,811.0273,-811.0273
Australia,1952,,405.5137,-405.5137
Australia,1954,,437.9547,-437.9547
Australia,1955,,442.0099,-442.0099
Australia,1956,,480.1282,-480.1282
Australia,1962,,768.5626,-768.5626
Australia,1973,271.6574,,271.6574
Australia,1974,1874.1011,,1874.1011
Australia,1975,938.3615,,938.3615
Australia,1976,1256.9646,,1256.9646
Australia,1977,1752.0802,,1752.0802
Australia,1978,1604.2737,,1604.2737
Australia,1979,1523.9727,,1523.9727
Australia,1980,1418.5457,54.5023,1364.0434
Australia,1981,1352.5484,747.6480,604.9004
Australia,1982,1198.4914,2.5995,1195.8920
Australia,1983,1357.4441,,1357.4441
Australia,1984,1175.2875,,1175.2875
Australia,1985,1093.7378,,1093.7378
Australia,1986,1034.6460,1.8678,1032.7782
Australia,1987,964.8165,,964.8165
Australia,1988,2162.2527,0.7658,2161.4868
Australia,1989,555.6463,0.5147,555.1316
Australia,1990,877.3538,,877.3538
Australia,1991,1262.5821,,1262.5821
Australia,1992,794.7926,193.5537,601.2389
Australia,1993,1733.8543,79.2623,1654.5920
